Wavelength,Intensity # Note: second half of data set dropped
3922.453698120109,1237
3925.3640419210715,1199
3928.2730596968613,1153
117.81040077578655,629
122.51378642971758,614
127.21488124521056,621
131.91368652571691,626
136.61020357374218,646
141.30443369086424,663
145.99637817774055,713
150.68603833410816,727
155.37341545876916,770
160.05851084960887,839
164.74132580358491,940
169.42186161673453,942
174.10011958417454,1015
178.77610100010133,1056
183.44980715779093,1099
188.12123934959891,1133
192.7903988669641,1160
197.45728700041218,1184
202.12190503954116,1210
206.78425427305774,1288
211.44433598872274,1334
216.10215147340932,1337
220.75770201305568,1395
225.41098889271234,1367
230.06201339649851,1417
234.71077680762755,1414
239.35728040841423,1431
244.00152548025653,1446
248.64351330363934,1455
253.28324515814529,1500
257.92072232245846,1492
262.5559460743425,1461
267.18891769067341,1417
271.8196384474104,1397
276.44810961961048,1377
281.07433248143934,1344
285.69830830615319,1318
290.32003836610966,1303
294.93952393276777,1326
299.55676627668436,1271
304.17176666752493,1234
308.78452637404553,1204
313.39504666412904,1241
318.0033288047307,1232
322.60937406194716,1224
327.21318370095105,1207
331.81475898603821,1243
336.41410118060594,1230
341.01121154716384,1235
345.60609134733386,1188
350.19874184183936,1216
354.78916429052333,1210
359.37735995234107,1228
363.963330085342,1215
368.54707594672072,1219
373.1285987927622,1168
377.70789987887474,1243
382.28498045957895,1222
386.85984178852232,1196
391.43248511845741,1210
396.00291170126366,1183
400.57112278793647,1236
405.13711962859452,1185
409.70090347246878,1236
414.26247556792077,1229
418.82183716243526,1269
423.37898950261297,1212
427.93393383418152,1196
432.48667140199905,1217
437.03720345003967,1225
441.585531221408,1261
446.13165595833925,1225
450.67557890219905,1236
455.2173012934727,1227
459.75682437177966,1240
464.29414937586625,1272
468.8292775436239,1274
473.36221011205271,1276
477.8929483173124,1233
482.42149339467142,1278
486.9478465785578,1252
491.4720091024974,1246
495.99398219920113,1262
500.51376710047771,1258
505.0313650372882,1295
509.54677723973145,1263
514.06000493704778,1275
518.571049357608,1291
523.07991172893526,1252
527.58659327768328,1294
532.09109522966173,1286
536.59341880981083,1267
541.09356524221585,1252
545.59153575012169,1335
550.08733155588925,1254
554.58095388105357,1265
559.07240394628388,1253
563.56168297140175,1281
568.04879217537018,1281
572.53373277631181,1309
577.01650599148707,1284
581.49711303732329,1293
585.97555512937834,1319
590.451833482377,1300
594.9259493101963,1261
599.3979038258658,1303
603.86769824156363,1293
608.33533376863488,1311
612.80081161757334,1299
617.26413299802152,1271
621.72529911879974,1303
626.18431118786975,1279
630.64117041236386,1283
635.09587799855581,1297
639.548435151908,1304
643.99884307701723,1334
648.44710297766869,1357
652.89321605678924,1288
657.33718351647622,1314
661.77900655798658,1315
666.21868638175874,1300
670.65622418737985,1316
675.0916211736112,1322
679.52487853838829,1339
683.95599747879533,1316
688.38497919110887,1345
692.81182487075421,1346
697.23653571234536,1357
701.659112909656,1310
706.07955765563747,1370
710.497871142401,1320
714.91405456125722,1380
719.32810910266562,1380
723.74003595627073,1346
728.14983631089854,1338
732.55751135453829,1356
736.96306227437162,1364
741.36649025674342,1315
745.76779648719094,1340
750.166982150422,1374
754.56404843031851,1357
758.9589965099658,1406
763.3518275716051,1334
767.7425427966773,1353
772.13114336579747,1352
776.517630458773,1373
780.90200525458567,1362
785.28426893140931,1376
789.66442266659942,1368
794.04246763670744,1420
798.41840501745537,1370
802.79223598377212,1370
807.16396170976077,1397
811.53358336873134,1377
815.90110213315711,1395
820.26651917473646,1396
824.629835664331,1378
828.99105277200579,1383
833.35017166702892,1366
837.70719351783919,1408
842.06211949209683,1345
846.41495075663988,1367
850.765688477506,1414
855.114333819929,1423
859.46088794834577,1440
863.80535202638566,1413
868.1477272168886,1382
872.4880146818723,1399
876.82621558257961,1418
881.16233107943117,1382
885.49636233207275,1351
889.82831049933884,1381
894.15817673926358,1422
